종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,퀄리티점수,랭킹,순위변동,정배열
000720,현대건설,112915.0,30.54,3320.0,1.38,건설,3.47,4.95,157.57,-15.75,-15.35,0.0515683395013849,0.05373398388701879,83,-1,
180640,한진칼,74907.0,48.72,2303.0,2.26,금융,0.72,5.03,19.92,11.05,92.68,0.05318070584994564,0.05026871026801284,84,0,
022100,포스코DX,29251.0,56.09,343.0,5.13,일반서비스,0.1,6.32,44.25,-18.62,-84.0,0.043677977924601735,0.044707879688851745,85,0,
006260,LS,95160.0,36.06,8458.0,1.67,금융,4.27,6.84,256.29,37.48,53.19,0.036853097043547174,0.03597981044614011,86,0,
489790,한화비전,24234.0,53.16,903.0,2.79,전기·전자,14.42,4.02,150.95,-2.31,-55.32,0.032873781606456626,0.0354714441102624,87,-2,
003550,LG,154821.0,22.13,4628.0,0.55,금융,6.22,1.73,10.89,-7.0,-35.14,0.02532162229884692,0.02789039947062054,88,-1,
052690,한전기술,36309.0,42.52,2234.0,5.78,일반서비스,0.96,5.65,49.16,13.33,194.78,0.014105254469084144,0.014879456006098716,89,2,
278470,에이피알,144324.0,50.04,7704.0,32.37,화학,2.8,83.79,88.12,123.04,166.76,0.002643332820449141,0.0029541904735420794,90,0,
000500,가온전선,36478.0,123.39,1787.0,13.57,전기·전자,2.56,11.96,202.46,19.44,27.19,-0.015259259563012662,-0.016954450432112154,91,0,
000150,두산,208739.0,363.51,3546.0,14.75,전기·전자,5.92,4.93,161.07,17.72,71.74,-0.029997122347425798,-0.031098925379988106,92,-4,
082740,한화엔진,39429.0,22.69,2082.0,7.09,기계·장비,8.62,0.0,213.19,8.5,130.27,-0.03816274649970458,-0.037688856540330856,93,-4,
006360,GS건설,24605.0,26.3,1093.0,0.51,건설,2.68,1.4,231.27,-21.63,4.39,-0.06972666396583906,-0.06749287446898597,94,1,
001040,CJ,39243.0,33.47,4019.0,0.87,금융,0.0,2.81,181.81,8.03,-13.24,-0.06601296494614736,-0.06961496041030256,95,1,
005380,현대차,888649.0,12.28,35331.0,0.99,운송장비·부품,2.24,7.5,190.29,3.45,-30.79,-0.06703816936626425,-0.07082724844619195,96,2,
003690,코리안리,24529.0,8.4,1653.0,0.67,보험,0.95,0.0,278.19,10.37,135.91,-0.07196964280076154,-0.07204334818585718,97,0,
035420,NAVER,297566.0,15.32,12376.0,1.03,IT 서비스,3.49,6.49,45.21,16.3,7.22,-0.07962367642878887,-0.08310252942075955,98,2,
010950,S-Oil,158066.0,92.49,1518.0,1.84,화학,6.85,10.35,201.65,-0.53,0.0,-0.10136763690241235,-0.10085650014152754,99,-1,
377300,카카오페이,54852.0,121.04,335.0,2.88,금융,6.85,3.18,201.97,41.71,630.95,-0.12982428757124878,-0.12931395575244986,100,0,
