종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),frgn_sum_3,orgn_sum_3,frgn_sum_5,orgn_sum_5,frgn_pos_5,orgn_pos_5,frgn_series,orgn_series,수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,섹터,당일등락(%),raw_score,멀티팩터점수,순위변동,정배열
075580,세진중공업,2026-06-10,-7.0,371.0,364.0,2193.0,-0.13294131213306348,0.7,228.0,1276.0,-783.0,2976.0,1.0,5.0,"-335,-408,-139,799,-451,-655,-356,247,-12,-7","-136,-212,-1044,477,734,852,848,519,386,371",1.4463992007199984,0.003898982669383109,2.0921307536230187,3.5424289370124002,27,7919.0,운송장비·부품,5.21,1.614143338845142,1.462607274440337,26,False
487230,KODEX 미국AI전력핵심인프라,2026-06-10,-1183.0,2156.0,973.0,22018.0,-0.26975984366340766,0.8,-2552.0,12118.0,-2443.0,24461.0,3.0,4.0,"66,2263,-1576,2891,380,58,51,259,-1628,-1183","4034,-2295,4673,3398,6924,-114,12457,7246,2716,2156",0.7343433746636954,-0.40059452094340636,1.4330308601357142,1.7667797138560033,28,18904.0,ETF(실물복제/수익증권),-2.82,0.812927253331712,1.4333361901011266,-53,False
000240,한국앤컴퍼니,2026-06-10,-307.0,646.0,339.0,3027.0,-0.10032261422988364,0.8,-367.0,2096.0,-948.0,3975.0,2.0,5.0,"469,230,745,905,1461,714,-1295,-873,813,-307","-511,-15,-560,-308,657,813,1066,995,455,646",0.5420336127556827,-0.09072472053148338,1.788098671081016,2.2394075633052153,29,24541.0,금융,0.58,1.0261884259225413,1.432934720668199,-38,False
086790,하나금융지주,2026-06-10,-10688.0,14085.0,3397.0,29864.0,1.4966577742243374,0.6,-8420.0,8760.0,5969.0,23895.0,3.0,4.0,"12419,9390,-4690,3399,774,5557,8832,-1696,3964,-10688","-12450,-12931,3363,-12,5896,10104,5031,-18770,13445,14085",1.0799274932672225,0.6058896170631877,0.159908630543277,1.8457257408736873,30,323480.0,금융,-0.92,0.8485496194550773,1.4183623483838461,-49,True
477080,RISE CD금리액티브(합성),2026-06-10,0.0,144.0,144.0,1694.0,0.49659863941505855,0.6,-4.0,1654.0,-4.0,1698.0,0.0,4.0,"0,0,0,0,0,0,0,-4,0,0","-926,335,-37,706,-72,-58,102,1374,136,144",1.3422858448297164,1.1584048041318373,1.6585767103570501,4.159267359318603,31,14644.0,ETF,0.01,1.892475826855318,1.4159533848216488,85,
005940,NH투자증권,2026-06-10,1666.0,-2833.0,-1167.0,10047.0,-0.31507567417945737,0.5,7696.0,-7508.0,187.0,9860.0,3.0,2.0,"6857,6356,7232,7779,4741,4415,-11924,6425,-395,1666","-13943,-8041,-6919,-4061,-8965,-371,17739,-9737,5062,-2833",1.5173376073996985,-0.5276097618953013,1.4182714516382937,2.407999297142691,32,108685.0,증권,-2.4,1.1022611137448968,1.4156741450046357,-30,
003570,SNT다이내믹스,2026-06-10,-109.0,574.0,465.0,2407.0,-0.03917595408579588,0.8,1533.0,174.0,1530.0,877.0,3.0,2.0,"207,428,-374,774,2675,618,-621,1164,478,-109","-22,-1320,286,-206,-2608,-230,933,-144,-256,574",1.5949873956389475,0.09647042420967274,1.5024909691909918,3.193948789039612,33,14066.0,운송장비·부품,6.28,1.4569006264914162,1.4130759232722445,9,
001060,JW중외제약,2026-06-10,-83.0,39.0,-44.0,1111.0,0.20839733738319022,0.8,723.0,133.0,809.0,302.0,4.0,4.0,"90,17,399,456,374,80,6,445,361,-83","-145,8,-134,-12,-63,153,16,116,-22,39",0.5971008976756358,0.9693864639863127,1.3662599621279599,2.932747323789908,34,6136.0,제약,0.96,1.3390401770352305,1.4128361191100542,-4,
051600,한전KPS,2026-06-10,618.0,-591.0,27.0,1082.0,-0.5279265493532675,0.4,3827.0,-1976.0,4223.0,-3141.0,4.0,0.0,"-994,1034,1171,1246,142,481,-85,1867,1342,618","-2765,-1657,-2117,-715,-896,-522,-643,-922,-463,-591",1.560999577902497,-0.16804104823232482,2.5148229287838455,3.907781458454018,35,21083.0,건설,-0.85,1.7789992761803122,1.3940427879652644,63,
090430,아모레퍼시픽,2026-06-10,-1803.0,714.0,-1089.0,4124.0,-0.38594502692067734,0.3,4273.0,6551.0,2645.0,1479.0,3.0,4.0,"1155,-95,1588,-7389,-3501,1708,-3336,2101,3975,-1803","-7110,-1850,-6329,-11494,-694,202,-5274,596,5241,714",2.183548588451704,-0.29309332866293925,1.5491931384829922,3.439648398271757,36,65395.0,화학,-0.18,1.567766261749726,1.3849414845876384,31,
