ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
COIN,55638454272,46.262333,3.7356968,0.10055,-0.222,,53.119
CMCSA,107968593920,5.497217,1.1020606,0.2141,0.012,-0.525,107.863
FIX,58070081536,57.14924,89.919365,0.49238998,0.01,0.388,45.489
ED,40581599232,19.530142,1.6443734,0.08767,0.089,-0.083,117.317
CAG,7109575680,,0.87083924,-0.00511,-0.019,0.39,89.813
COP,141840236544,18.274015,2.2046168,0.12357,-0.068,-0.39,37.828
STZ,28251953152,16.886578,3.6490376,0.22636999,-0.113,,126.012
CEG,107315298304,39.974358,6.3733964,0.16364,0.129,-0.489,63.94
CPRT,32380190720,21.037735,3.291675,0.17129,-0.036,-0.1,0.98
COO,13669713920,34.85572,1.6342812,0.04868,0.062,0.269,33.201
GLW,141204865024,90.31868,11.93148,0.14904,0.204,0.774,76.192
CPAY,22772353024,22.264805,5.8902016,0.29071,0.207,0.09,243.348
CTVA,54030577664,45.90857,2.2366369,0.04974,-0.017,,12.282
COST,443820572672,52.077602,26.822523,0.29650998,0.215,0.455,60.257
CSGP,16834241536,1986.0001,1.9916762,0.00088,0.269,-0.259,13.666
CRH,78212874240,21.243195,3.2605367,0.15684,0.062,0.484,77.341
CRWD,107519696896,,24.256208,-0.04137,0.233,,18.336
CCI,38710149120,35.20238,-23.599361,,-0.043,,
CTRA,23456403456,13.790178,1.5821552,0.12275,0.234,0.206,26.984
CMI,86712287232,30.57923,7.0137887,0.23928,0.011,0.414,60.516
CSX,80574898176,28.129871,6.1238337,0.22511,-0.009,-0.004,148.222
CVS,99068018688,55.611515,1.3062508,0.022869999,0.084,0.766,106.06
DRI,23151048704,21.187567,10.961078,0.51539004,0.059,-0.033,387.681
DDOG,44801118208,422.03333,11.959006,0.03343,0.292,-0.033,34.269
DHR,137824452608,38.794823,2.6205661,0.07053,0.046,0.125,37.487
DVA,9887635456,15.553102,-15.572752,0.64848,0.099,0.065,1111.353
DE,159487557632,33.34049,6.064148,0.19566,-0.111,-0.085,376.022
DELL,130251644928,22.617952,-51.88754,,0.395,0.573,
DAL,47119618048,10.470074,2.299971,0.2499,0.129,,105.021
DECK,16396293120,15.980114,6.136141,0.39688,0.071,0.11,13.14
DVN,27486961664,10.606714,1.7716804,0.17736,-0.121,-0.085,55.951
DXCM,24688154624,30.612442,8.965807,0.34497002,0.131,0.78,50.852
FANG,50712068096,31.460733,1.3876424,0.03735,-0.094,,33.784
DG,27898269696,18.493431,3.27745,0.18992001,0.059,1.219,184.665
DLR,71227179008,56.877094,3.1520123,0.05469,0.171,-0.534,81.655
DASH,79886663680,86.33333,7.9592276,0.10439,0.377,0.477,32.749
DLTR,21064517632,17.833334,5.600021,0.31693,0.09,,187.904
D,54864977920,17.988472,1.9531274,0.09741,0.204,3.655,150.094
DOV,29545232384,27.486828,3.9891837,0.15285,0.088,-0.801,48.404
DOW,25618448384,,1.5950534,-0.13818,-0.091,,111.871
DPZ,12511967232,21.187927,-3.2071648,,0.064,0.095,
DHI,43609624576,13.619091,1.8136585,0.13477,-0.095,-0.222,22.872
DTE,30575970304,20.907537,2.481848,0.12177,0.289,0.255,213.601
DUK,99635085312,20.290016,1.9581242,0.09724,0.08,-0.022,171.838
DD,19407683584,225.4762,1.391992,0.0051700003,,,24.484
ETN,157771956224,38.909004,8.111708,0.21525998,0.131,0.189,54.877
EBAY,47301799936,24.565727,10.181942,0.40847,0.15,-0.184,155.623
SATS,38481158144,,6.6728454,-1.11347,-0.043,,532.734
ECL,77610049536,37.74725,7.93188,0.22516,0.048,0.202,91.769
EIX,27232096256,6.125541,1.5937197,0.24103001,0.308,4.463,215.738
EW,47038992384,44.745857,4.5494885,0.10353,0.133,-0.766,6.824
EA,51009216512,76.34082,8.288131,0.10027,0.01,-0.685,36.443
ELV,71298637824,12.819444,1.6249263,0.1325,0.095,0.363,74.388
ETR,52884893696,29.620512,3.0877793,0.10774,0.079,-0.208,181.79
EMR,82292916224,35.870102,4.056264,0.09646,0.041,0.049,69.283
EME,36083523584,28.573202,9.767579,0.3849,0.197,0.53,12.913
EPAM,7110743040,19.544643,1.938512,0.10335,0.128,0.099,3.907
EOG,68901601280,14.082236,2.314638,0.16829,0.0,-0.417,30.62
EQT,36507541504,17.667673,1.5364809,0.09007,0.269,0.546,28.932
EQR,24395741184,21.39249,2.1480465,0.100200005,0.02,-0.088,74.323
EFX,23670921216,36.883457,5.1310077,0.13757,0.092,0.024,110.637
EQIX,107363500032,79.34548,7.5537763,0.09722,0.081,,160.291
ERIE,12801082368,22.87944,5.606165,0.26194,0.029,-0.584,2.712
ESS,17629028352,24.516348,2.9651122,0.12235,0.032,-0.687,119.433
EL,27563599872,,6.836533,-0.04341,0.056,,232.945
EVRG,18968506368,22.505465,1.8555982,0.08569,0.066,0.047,149.917
EG,14196733952,9.301137,0.9252731,0.10847,-0.029,,24.481
ES,26027290624,15.186403,1.6050527,0.10777,0.134,4.662,184.946
EXC,48109694976,17.223444,1.6696258,0.09936,-0.011,-0.093,174.488
EXPE,32574670848,27.098877,25.36157,0.48672,0.114,-0.273,254.692
EXE,23034959872,12.65786,1.2339828,0.100659996,0.383,,27.495
EXPD,19665092608,24.756304,8.371697,0.35431,-0.033,-0.115,24.197
XOM,608686571520,21.824142,2.35931,0.110810004,-0.013,-0.11,18.936
