단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
003075,KR7003071008,코오롱글로벌우,ST,0.0,18,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,3,N,N,N,N,N,N,N,N,14840,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2189,5000,19891211,740,3703685000,12.0,,1,,N,N,N,0,0,0,0,0.0,,109,,N,N,N
003080,KR7003080009,SB성보,ST,3.0,27,8,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2840,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,11312,500,19761223,20020,10010000000,12.0,,0,,N,N,Y,449,76,70,53,16.73,20250331.0,568,,N,N,N
003090,KR7003090008,대웅,ST,2.0,27,9,0,,N,N,A,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,22050,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,110698,500,19730626,58141,29070990000,12.0,,0,,N,N,Y,4814,611,446,345,10.42,20250331.0,12820,,N,N,Y
0030R0,KR70030R0007,대신밸류리츠,RT,0.0,21,0,0,,N,,0,N,N,N,,N,N,,,,,N,,,0,,,Y,,,,,,4340,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,57063,500,20250710,59780,29890000000,,,0,,N,N,Y,0,0,0,0,0.0,,2594,,N,N,N
003120,KR7003120003,일성아이에스,ST,3.0,27,9,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,24900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,7050,1000,19850114,13300,13300000000,12.0,,0,,N,N,Y,690,-95,112,131,3.41,20241231.0,3311,,N,N,N
003160,KR7003160009,디아이,ST,3.0,27,14,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,13620,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,115814,500,19960731,28300,17248392500,12.0,,0,,N,N,Y,1100,99,89,73,13.7,20250331.0,3854,,N,N,N
003200,KR7003200003,일신방직,ST,3.0,27,6,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10290,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,34110,500,19730523,22960,12000000000,12.0,,0,,N,N,Y,1364,28,229,190,8.44,20250331.0,2362,,N,N,N
003220,KR7003220001,대원제약,ST,3.0,27,9,0,,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,13130,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,15500,500,19991215,22427,11213791500,12.0,,0,,N,N,Y,1578,94,61,49,7.9,20250331.0,2944,,N,N,N
003230,KR7003230000,삼양식품,ST,1.0,27,5,0,,N,N,7,Y,N,Y,,Y,Y,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1435000,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,24576,5000,19750630,7533,37665075000,12.0,,0,,N,Y,Y,5290,1340,1350,990,46.11,20250331.0,108098,,N,N,N
003240,KR7003240009,태광산업,ST,2.0,27,8,0,,N,N,4,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,986000,1,1,N,N,N,0,N,Y,N,0,0,0,30,Y,90,1055,5000,19751227,1113,5567000000,12.0,,0,,N,Y,Y,5075,27,822,758,7.63,20250331.0,10978,,N,N,N
