종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),기준일자
074600,원익QnC,9017,40.07,856.0,1.85,비금속,0.88,4.72,169.02,10.75,14.61,2026-06-25
397030,에이프릴바이오,9014,42.83,899.0,9.49,일반서비스,-3.02,26.9,9.46,0.0,0.0,2026-06-25
161580,필옵틱스,8744,-50.68,-736.0,7.51,기계·장비,-1.19,-19.12,109.27,-66.42,0.0,2026-06-25
090360,로보스타,8629,-166.04,-533.0,9.94,기계·장비,-3.59,-2.32,27.02,77.72,0.0,2026-06-25
137400,피엔티,8410,12.28,2890.0,1.3,기계·장비,-4.95,12.68,149.63,-33.19,-39.02,2026-06-25
388720,유일로보틱스,8353,-83.81,-846.0,8.55,기계·장비,-4.7,0.0,16.24,-54.74,0.0,2026-06-25
056190,에스에프에이,8349,15.16,1534.0,0.72,기계·장비,-2.52,5.54,49.48,-9.35,-46.82,2026-06-25
189300,인텔리안테크,8236,110.36,695.0,2.94,전기·전자,-4.36,13.28,85.25,49.3,0.0,2026-06-25
032500,케이엠더블유,8189,-28.88,-672.0,6.04,전기·전자,-6.91,-19.04,77.08,-17.78,0.0,2026-06-25
086450,동국제약,8069,12.22,1460.0,1.21,제약,-1.92,11.56,39.81,12.19,7.97,2026-06-25
115180,큐리언트,7990,-25.21,-845.0,23.56,일반서비스,-5.96,-79.54,66.65,1.12,0.0,2026-06-25
328130,루닛,7922,-14.0,-760.0,4.85,IT 서비스,-4.49,-45.3,212.37,24.74,0.0,2026-06-25
213420,덕산네오룩스,7921,14.89,2142.0,1.73,전기·전자,-5.76,13.96,49.78,92.06,72.66,2026-06-25
466100,클로봇,7841,-354.02,-87.0,12.75,IT 서비스,-7.37,-2.28,15.36,64.95,0.0,2026-06-25
036830,솔브레인홀딩스,7812,1.64,23248.0,0.44,일반서비스,-1.3,32.22,35.85,39.56,-84.19,2026-06-25
356860,티엘비,7778,40.84,1937.0,6.1,전기·전자,1.41,21.81,97.19,43.11,472.08,2026-06-25
048410,현대바이오,7769,-34.26,-235.0,6.98,화학,-1.11,-18.56,15.29,-54.19,0.0,2026-06-25
122640,예스티,7717,-1324.07,-27.0,5.6,기계·장비,-4.67,0.72,75.51,9.64,38.11,2026-06-25
252990,샘씨엔에스,7684,0.0,0.0,0.0,전기·전자,3.57,0.0,0.0,0.0,0.0,2026-06-25
122870,와이지엔터테인먼트,7626,20.67,1974.0,1.47,오락·문화,-5.12,7.31,32.62,46.89,238.5,2026-06-25
490470,세미파이브,7367,-10.95,-1978.0,3.32,일반서비스,-2.48,0.0,39.5,136.81,0.0,2026-06-25
033100,제룡전기,7260,0.0,0.0,0.0,전기·전자,-4.54,0.0,0.0,0.0,0.0,2026-06-25
445680,큐리옥스바이오시스템즈,7251,-25.62,-1645.0,13.67,의료·정밀기기,-8.17,-53.84,50.29,43.72,0.0,2026-06-25
053610,프로텍,7002,17.96,4331.0,2.01,기계·장비,-3.59,18.29,24.24,105.28,428.35,2026-06-25
014620,성광벤드,6958,20.63,1270.0,1.27,금속,-7.42,6.27,8.1,-7.16,-38.86,2026-06-25
019210,와이지-원,6955,27.5,680.0,1.63,금속,-7.2,10.85,180.68,46.72,327.78,2026-06-25
222080,씨아이에스,6938,24.04,371.0,1.36,기계·장비,-3.15,3.94,30.88,-50.46,-87.28,2026-06-25
032190,다우데이타,6932,3.17,5713.0,0.43,유통,2.78,16.49,1101.18,148.6,85.04,2026-06-25
094170,동운아나텍,6869,0.0,0.0,0.0,전기·전자,-4.51,0.0,0.0,0.0,0.0,2026-06-25
293490,카카오게임즈,6869,-6.45,-1186.0,0.57,IT 서비스,-8.93,-8.74,134.96,-32.5,0.0,2026-06-25
035760,CJ ENM,6842,23.2,1345.0,0.23,오락·문화,-5.31,3.53,148.97,16.81,107.19,2026-06-25
241710,코스메카코리아,6825,15.02,4255.0,2.7,화학,-4.2,23.45,117.01,56.42,78.03,2026-06-25
358570,지아이이노베이션,6741,-9.42,-1113.0,19.32,일반서비스,-10.8,-116.69,57.56,-99.54,0.0,2026-06-25
046890,서울반도체,6711,-13.05,-882.0,1.05,전기·전자,-3.68,-4.21,65.33,-0.44,0.0,2026-06-25
456160,지투지바이오,6685,-2.84,-14150.0,-2.09,제약,-0.99,0.0,0.0,3.93,0.0,2026-06-25
050890,쏠리드,6683,18.43,597.0,1.87,전기·전자,-1.87,15.98,62.32,14.32,0.0,2026-06-25
160190,하이젠알앤엠,6641,-93.89,-229.0,5.88,전기·전자,-6.11,-9.29,55.51,2.56,0.0,2026-06-25
126340,비나텍,6635,-104.05,-888.0,7.75,전기·전자,-4.55,-4.91,138.92,61.16,0.0,2026-06-25
041830,인바디,6471,21.18,2266.0,2.01,의료·정밀기기,3.67,13.29,15.3,23.14,86.01,2026-06-25
023160,태광,6467,10.37,2410.0,1.04,금속,-6.02,13.26,11.54,31.36,26.28,2026-06-25
376900,로킷헬스케어,6350,-204.08,-196.0,54.05,제약,-16.67,13.07,936.15,118.08,0.0,2026-06-25
476060,온코닉테라퓨틱스,6343,-57.25,-244.0,10.78,일반서비스,-1.62,-44.55,8.74,-29.53,0.0,2026-06-25
102710,이엔에프테크놀로지,6315,12.16,3635.0,1.41,화학,-3.49,13.01,62.16,8.29,16.11,2026-06-25
052020,에스티큐브,6248,-28.63,-321.0,8.65,유통,-5.36,-30.89,27.47,-24.63,0.0,2026-06-25
295310,에이치브이엠,6168,-65.39,-783.0,9.22,금속,-7.25,-17.39,80.93,8.88,0.0,2026-06-25
006730,서부T&D,6168,7.88,1206.0,0.57,일반서비스,-1.55,8.45,135.0,48.26,37.29,2026-06-25
253450,스튜디오드래곤,6132,59.48,343.0,0.77,오락·문화,-3.55,1.94,27.68,16.05,50.11,2026-06-25
171090,선익시스템,5991,5.87,10110.0,3.64,기계·장비,-1.17,70.41,152.3,1.29,0.0,2026-06-25
121600,나노신소재,5986,364.55,134.0,2.35,화학,-4.59,2.95,50.91,46.47,837.9,2026-06-25
059090,미코,5931,20.1,883.0,4.85,전기·전자,-3.48,4.9,248.04,49.81,-46.54,2026-06-25
041960,코미팜,5904,-79.9,-100.0,8.26,제약,-1.6,-9.61,83.34,-17.15,-40.91,2026-06-25
033640,네패스,5903,35.61,719.0,4.78,전기·전자,-9.22,10.49,185.2,3.55,198.98,2026-06-25
383310,에코프로에이치엔,5862,44.37,630.0,1.92,화학,-0.36,4.69,47.71,0.68,47.69,2026-06-25
044490,태웅,5812,23.54,1234.0,0.96,금속,-3.97,4.42,34.43,-12.94,-42.28,2026-06-25
053800,안랩,5775,10.64,4878.0,1.25,IT 서비스,-1.14,15.51,37.16,3.28,84.32,2026-06-25
102940,코오롱생명과학,5753,21.96,2001.0,0.97,제약,-2.33,6.51,46.46,10.76,3839.04,2026-06-25
348370,엔켐,5752,-8.33,-3152.0,1.22,화학,-6.42,-27.16,127.95,23.29,0.0,2026-06-25
052400,코나아이,5745,7.72,5110.0,2.19,IT 서비스,-2.95,38.64,102.42,31.97,95.38,2026-06-25
086900,메디톡스,5744,36.71,2144.0,1.22,제약,1.94,4.92,48.74,-5.11,34.62,2026-06-25
027360,아주IB투자,5736,68.62,69.0,2.13,금융,-5.3,5.25,24.23,9.8,943.48,2026-06-25
033790,피노,5708,-55.69,-123.0,2.78,전기·전자,-3.39,-6.36,107.37,340.31,0.0,2026-06-25
036810,에프에스티,5553,-46.13,-556.0,2.18,전기·전자,-2.84,-5.96,108.8,1.55,-48.42,2026-06-25
037460,삼지전자,5532,7.31,4636.0,1.04,전기·전자,-2.16,38.27,176.79,113.54,1240.31,2026-06-25
056080,유진로봇,5525,-170.0,-85.0,15.18,기계·장비,-5.56,-8.56,53.28,35.12,0.0,2026-06-25
174900,앱클론,5457,0.0,0.0,0.0,제약,-5.69,0.0,0.0,0.0,0.0,2026-06-25
093320,케이아이엔엑스,5417,31.68,3504.0,2.63,IT 서비스,-4.31,10.68,38.73,7.93,79.53,2026-06-25
225570,넥슨게임즈,5414,-8.75,-939.0,2.03,IT 서비스,-2.38,-30.12,63.22,-19.09,0.0,2026-06-25
067160,SOOP,5351,5.25,8860.0,1.06,IT 서비스,1.75,24.09,81.44,-1.52,-24.06,2026-06-25
365340,성일하이텍,5349,-6.51,-6364.0,3.99,화학,-3.04,-56.94,454.43,82.46,0.0,2026-06-25
033160,엠케이전자,5323,366.67,60.0,1.25,전기·전자,-4.97,1.61,160.09,58.69,0.0,2026-06-25
