단축코드,표준코드,한글명,그룹코드
083640,KR7083640003,인콘,ST
083650,KR7083650002,비에이치아이,ST
083660,KR7083660001,CSA 코스믹,ST
083790,KR7083790006,CG인바이츠,ST
083930,KR7083930008,아바코,ST
084110,KR7084110006,휴온스글로벌,ST
084180,KR7084180009,수성웹툰,ST
084370,KR7084370006,유진테크,ST
084440,KR7084440007,유비온,ST
084650,KR7084650001,랩지노믹스,ST
084730,KR7084730001,팅크웨어,ST
084850,KR7084850007,아이티엠반도체,ST
084990,KR7084990001,헬릭스미스,ST
085660,KR7085660009,차바이오텍,ST
085670,KR7085670008,뉴프렉스,ST
085810,KR7085810000,알티캐스트,ST
085910,KR7085910008,네오티스,ST
086040,KR7086040003,바이오톡스텍,ST
086060,KR7086060001,진바이오텍,ST
086390,KR7086390002,유니테스트,ST
086450,KR7086450004,동국제약,ST
086520,KR7086520004,에코프로,ST
086670,KR7086670007,비엠티,ST
086710,KR7086710001,선진뷰티사이언스,ST
