종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,멀티팩터점수,기준일자
041930,동아화성,2026-05-08,48.0,0.0,48.0,260.0,1.2271386420823869,0.5,2.200945071306718,0.9403314558529051,1.322875480532319,4.464152007691942,56,1018.0,3.84,1743.0,0.52,화학,1.52,15.64,63.68,5.27,-6.57,0.8263703750701236,0.7442779349124466,2026-05-08
027830,대성창투,2026-05-08,-95.0,0.0,-95.0,-485.0,0.34944612265617625,0.2,-1.6698413014921423,0.13151084388708073,-1.9491178464878958,-3.4874483040929576,57,819.0,5.92,256.0,0.83,금융,0.07,15.07,1.72,62.49,398.81,0.7195491599078734,0.7399256706806787,2026-05-08
034950,한국기업평가,2026-05-08,140.0,-10.0,130.0,874.0,2.0445906429410172,0.5,2.8006845375248033,1.5075531667666684,2.229576987403664,6.537814691695136,58,5049.0,20.01,5556.0,3.75,일반서비스,0.36,20.08,28.41,5.5,5.08,0.8900438571952183,0.7371657414865103,2026-05-08
092300,현우산업,2026-05-08,12.0,1.0,13.0,166.0,-0.06931464185327307,0.6,0.15070829479928502,-0.47986038253860985,1.3922863619075452,1.0631342741682204,59,725.0,9.42,404.0,0.62,전기·전자,0.26,6.86,75.81,15.11,42.48,0.5443883498638954,0.734601147388237,2026-05-08
143240,사람인,2026-05-08,2.0,-8.0,-6.0,56.0,-0.3117744611993928,0.5,0.004328479997342656,0.28218170263354575,0.7629747460174374,1.0494849286483259,60,1800.0,2.14,7852.0,0.66,IT 서비스,0.84,41.37,22.35,-5.57,-21.11,0.7266395618967615,0.7343752338173036,2026-05-08
122310,제노레이,2026-05-08,30.0,0.0,30.0,102.0,0.46804835847942217,0.9,1.348991402603926,2.015769891982013,2.5649289073399304,5.929690201925869,61,683.0,90.29,52.0,0.71,의료·정밀기기,0.32,0.89,56.69,0.99,0.0,0.9282956912711532,0.7316841839323105,2026-05-08
317850,대모,2026-05-08,-73.0,-2.0,-75.0,295.0,1.8299678077702688,0.5,0.62063216111385,2.8122145895304445,-0.5683985062126573,2.864448244431637,62,779.0,41.23,227.0,1.62,기계·장비,-0.95,4.0,34.66,-1.42,1535.36,0.7343769060128283,0.7258540583799029,2026-05-08
065710,서호전기,2026-05-08,218.0,1.0,219.0,-920.0,0.003401360493023642,0.6,-1.438876590714799,-0.4143457347730568,2.1692290399143244,0.31600671442646866,63,2338.0,11.28,4026.0,2.51,전기·전자,-0.22,24.38,24.6,150.98,1439.0,0.661677458632366,0.7229321341918797,2026-05-08
023760,한국캐피탈,2026-05-08,-18.0,-41.0,-59.0,-151.0,-0.13615023498512202,0.2,-0.3891214704249738,0.4702419716191746,0.37893231952639095,0.4600528207205917,64,2979.0,2.96,319.0,0.39,금융,-1.36,14.08,583.67,16.39,32.06,0.7248290297829474,0.7218630961584356,2026-05-08
123860,아나패스,2026-05-08,343.0,-4.0,339.0,-283.0,1.9919678712284599,0.4,-0.2667263715366168,2.2695482546629484,0.5596802069014709,2.5625020900278024,65,2166.0,11.46,1559.0,2.98,전기·전자,2.7,29.88,61.77,154.96,348.44,0.8112942678183417,0.7181358247583125,2026-05-08
